2024-12-31 at 23:13:34 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2024-12-31 at 23:13:34 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2024-12-31 at 23:14:14 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2024-12-31 at 23:14:18 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-31 at 23:14:18 | INFO | Найдено 0 записей.
2024-12-31 at 23:14:41 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:14:41 | INFO | Найдено 6 записей.
2024-12-31 at 23:15:21 | INFO | Поиск Category с ID 5
2024-12-31 at 23:15:21 | INFO | Запись с ID 5 найдена
2024-12-31 at 23:16:31 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2024-12-31 at 23:16:31 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2024-12-31 at 23:16:33 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:16:33 | INFO | Найдено 6 записей.
2024-12-31 at 23:16:37 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2024-12-31 at 23:16:37 | INFO | Найдено 0 записей.
2024-12-31 at 23:16:38 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2024-12-31 at 23:16:38 | INFO | Найдено 0 записей.
2024-12-31 at 23:16:39 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 3}
2024-12-31 at 23:16:39 | INFO | Найдено 0 записей.
2024-12-31 at 23:16:39 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 4}
2024-12-31 at 23:16:39 | INFO | Найдено 0 записей.
2024-12-31 at 23:16:40 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 5}
2024-12-31 at 23:16:40 | INFO | Найдено 0 записей.
2024-12-31 at 23:16:40 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 6}
2024-12-31 at 23:16:40 | INFO | Найдено 0 записей.
2024-12-31 at 23:16:54 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-31 at 23:16:54 | INFO | Найдено 0 записей.
2024-12-31 at 23:17:35 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:17:35 | INFO | Найдено 6 записей.
2024-12-31 at 23:18:13 | INFO | Поиск Category с ID 1
2024-12-31 at 23:18:13 | INFO | Запись с ID 1 найдена
2024-12-31 at 23:18:24 | ERROR | Бот остановлен
2024-12-31 at 23:18:29 | INFO | Бот успешно запущен
2024-12-31 at 23:18:33 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-31 at 23:18:33 | INFO | Найдено 0 записей.
2024-12-31 at 23:18:45 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:18:45 | INFO | Найдено 6 записей.
2024-12-31 at 23:19:26 | INFO | Поиск Category с ID 1
2024-12-31 at 23:19:26 | INFO | Запись с ID 1 найдена
2024-12-31 at 23:19:29 | INFO | Добавление записи Product с параметрами: {'name': 'ХУЙ', 'description': 'ОХ ЕБАТЬ ЗДОРОВЫЙ ЧЛЕН', 'price': 69, 'category_id': 1, 'hidden_content': 'ОХ ЕБАНУТЫЙ ХУЙ, ОХ ЕБАТЬ СПЕРМЫ КАК МНОГО, ММММ СТЕКАЕТ, МММ ПЕЙТЕ БЕЗ ОСТАНОВКИ, НАПИТКИ ИЗ ЧЕРНОЙ ГОЛОВКИ'}
2024-12-31 at 23:19:29 | INFO | Запись Product успешно добавлена
2024-12-31 at 23:19:32 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-31 at 23:19:32 | INFO | Найдено 1 записей.
2024-12-31 at 23:19:37 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2024-12-31 at 23:19:50 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:19:50 | INFO | Найдено 6 записей.
2024-12-31 at 23:19:51 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2024-12-31 at 23:19:51 | INFO | Найдено 1 записей.
2024-12-31 at 23:21:13 | ERROR | Бот остановлен
2024-12-31 at 23:21:17 | INFO | Бот успешно запущен
2024-12-31 at 23:22:37 | ERROR | Бот остановлен
2024-12-31 at 23:22:41 | INFO | Бот успешно запущен
2024-12-31 at 23:24:44 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-31 at 23:24:44 | INFO | Найдено 1 записей.
